Piano	Flute	Veena	Drums
Mridangam	Violin	Guitar	Triangle
Trumpet	Saxophone	Mouth organ	Cello
Xylophone	Clap box	Electric guitar	Bass guitar
Bugle	Harp	Harmonium	Oboe
Maracas	Cymbal	Accordion	Bongo drums
Bell	French horn	Banjo	Conga drums
Keyboard	Gong	Pipe organ	Comet
Tambourine	Trombone	Ukulele	Electronic drums
Drum pad	Clarinet	Harmonica	Tuba
Bass drum	Snare drum	Euphonium	Piccolo
Lute	Marimba	Bassoon	Cornet
Celesta	Spinet	Oud	Yueqin
Dholak	Tabla	Damru	Sarangi
Sitar	Gu-zheng	Ektara	Shehnai
Sarod	Pungi	Gramophone	Tubular chimes