Ash gourd	Broccoli	Cucumber	Celery
Bitter gourd	Elephant yam	Carrot	Spring onion
Potato	Capsicum	Turnip	Brinjal
Cluster beans	Green peas	Ginger	Apple gourd
Onion	Cauliflower	Beetroot	Ridge gourd
Garlic	Cabbage	Chow chow	Mushroom
Lady's finger	Snake gourd	Ivy gourd/Scarlet gourd	Spinach
Beans	Lab lab	Green papaya	Corn
Pumpkin	Bottle gourd	Snake beans/Yard long beans	Drumstick
White pumpkin	Radish	Field beans/Broad beans	Zucchini
Cauliflower
Broccoli
Artichoke
Banana flower
Romanesco broccoli
Zucchini flowers
Cabbage
Arugula
Spinach
Celery
Lettuce
Coriander leaves
Mint
Spring onion
Bok choy
Romaine lettuce
Rapini
Mustard greens
Kale
Beetroot
Carrot
Turnip
Radish
White radish
Celeriac
Rutabaga/Swede
Sugar beet
Parsnip
Horseradish
Potato
Tapioca
Arracacia
Elephant yam
Ginger
Greater yam
Turmeric
Purple yam
Chinese potato
Arrowroot
Cucumber
Pumpkin
Tomato
Peppers
Eggplant
String beans
Green peas
Corn
Lady's finger
Beans
Chickpeas
Onion
Garlic
Leek
Fennel
Spring onions
Asparagus
Lemon grass
Celery
Kohlrabi
Celtuce
Rhubarb
Swiss chard
Cardoon